env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
Acrobot-v1,anneal_k,anneal_k,0,ok,100000,-159.03333333333333,-81.9,-321.13,548,59.67284083366394,1675.8042453307473
Acrobot-v1,anneal_k,anneal_k,1,ok,100000,-118.39999999999999,-80.5,-224.19,785,58.89911723136902,1697.8183154626486
Acrobot-v1,anneal_k,anneal_k,2,ok,100000,-226.66666666666666,-85.4,-272.77,726,58.48572611808777,1709.8189017623088
Acrobot-v1,boltzmann,boltzmann,0,ok,100000,-84.5,-76.7,-300.29999999999995,746,61.51983094215393,1625.4921131696271
Acrobot-v1,boltzmann,boltzmann,1,ok,100000,-90.33333333333333,-80.0,-241.87000000000003,654,61.076354026794434,1637.2948515579305
Acrobot-v1,boltzmann,boltzmann,2,ok,100000,-225.0,-86.0,-321.59,536,61.50786590576172,1625.8083178046427
Acrobot-v1,eps_boltzmann,eps_boltzmann,0,ok,100000,-86.09999999999998,-77.6,-313.13,675,62.4994330406189,1600.0145142918204
Acrobot-v1,eps_boltzmann,eps_boltzmann,1,ok,100000,-207.1,-80.3,-316.31,667,62.08861804008484,1610.6011561642315
Acrobot-v1,eps_boltzmann,eps_boltzmann,2,ok,100000,-170.4,-98.0,-353.51000000000005,537,64.47714591026306,1550.9371357593332
Acrobot-v1,eps_greedy,eps_greedy,0,ok,100000,-81.13333333333333,-78.3,-316.78,650,61.05473279953003,1637.8746644972582
Acrobot-v1,eps_greedy,eps_greedy,1,ok,100000,-138.26666666666668,-77.4,-197.13000000000002,806,60.042279958724976,1665.4930503762228
Acrobot-v1,eps_greedy,eps_greedy,2,ok,100000,-96.90000000000002,-75.5,-247.19,718,60.56581115722656,1651.0965194605214
Acrobot-v1,mixture_anneal,mixture_anneal,0,ok,100000,-82.63333333333334,-76.3,-298.45000000000005,713,68.11388492584229,1468.1294439286958
Acrobot-v1,mixture_anneal,mixture_anneal,1,ok,100000,-79.0,-76.1,-258.94,772,67.15796613693237,1489.026630081442
Acrobot-v1,mixture_anneal,mixture_anneal,2,ok,100000,-107.33333333333333,-86.8,-226.86999999999995,714,66.90044713020325,1494.7583206040106
Acrobot-v1,topk3_boltzmann,topk_boltzmann,0,ok,100000,-86.8,-76.0,-227.63999999999996,714,61.46844792366028,1626.8509028273065
Acrobot-v1,topk3_boltzmann,topk_boltzmann,1,ok,100000,-85.7,-80.6,-283.82000000000005,756,59.32501029968262,1685.6297115642471
Acrobot-v1,topk3_boltzmann,topk_boltzmann,2,ok,100000,-348.4666666666667,-112.7,-306.97999999999996,551,59.36720299720764,1684.4317224226234
Acrobot-v1,topk_boltzmann,topk_boltzmann,0,ok,100000,-75.2,-72.4,-288.69,732,62.39662194252014,1602.6508629284474
Acrobot-v1,topk_boltzmann,topk_boltzmann,1,ok,100000,-84.66666666666667,-78.7,-252.48999999999995,726,62.389533042907715,1602.832961279356
Acrobot-v1,topk_boltzmann,topk_boltzmann,2,ok,100000,-390.0,-92.2,-320.85,575,63.261082887649536,1580.7506832849838
Acrobot-v1,topp_boltzmann,topp_boltzmann,0,ok,100000,-79.9,-75.9,-316.92,745,60.24299597740173,1659.9440047356186
Acrobot-v1,topp_boltzmann,topp_boltzmann,1,ok,100000,-82.43333333333334,-76.1,-236.54000000000002,786,59.03543567657471,1693.8978912233226
Acrobot-v1,topp_boltzmann,topp_boltzmann,2,ok,100000,-215.86666666666667,-101.4,-390.29,506,61.5065438747406,1625.8432631762264
