env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
Acrobot-v1,anneal_k,anneal_k,0,ok,150000,-79.93333333333334,-76.0,-276.11333333333334,1142,93.8336730003357,1598.5732541820394
Acrobot-v1,anneal_k,anneal_k,1,ok,150000,-78.5,-74.9,-238.00000000000003,1222,92.25846004486084,1625.867155457204
Acrobot-v1,anneal_k,anneal_k,2,ok,150000,-80.39999999999999,-77.3,-227.37333333333336,1191,93.24279761314392,1608.7033405232721
Acrobot-v1,anneal_k,anneal_k,3,ok,150000,-81.86666666666666,-74.0,-291.40000000000003,943,94.94318914413452,1579.8921581650582
Acrobot-v1,anneal_k,anneal_k,4,ok,150000,-77.86666666666666,-75.1,-256.18666666666667,1088,94.74430012702942,1583.2086975035534
Acrobot-v1,boltzmann,boltzmann,0,ok,150000,-80.73333333333333,-77.7,-227.2,1154,94.29795002937317,1590.7026605909887
Acrobot-v1,boltzmann,boltzmann,1,ok,150000,-81.73333333333333,-79.1,-234.99999999999997,1086,94.0383689403534,1595.0935952019959
Acrobot-v1,boltzmann,boltzmann,2,ok,150000,-256.43333333333334,-79.3,-344.5,904,95.59423208236694,1569.1323287241364
Acrobot-v1,boltzmann,boltzmann,3,ok,150000,-87.26666666666667,-83.1,-253.88000000000002,1091,92.23491930961609,1626.2821187762618
Acrobot-v1,boltzmann,boltzmann,4,ok,150000,-76.43333333333334,-75.4,-231.91333333333338,1194,91.68541312217712,1636.029057317053
Acrobot-v1,eps_boltzmann,eps_boltzmann,0,ok,150000,-122.09999999999998,-77.9,-170.52666666666664,1061,90.90389895439148,1650.094239359946
Acrobot-v1,eps_boltzmann,eps_boltzmann,1,ok,150000,-78.83333333333333,-74.1,-226.81333333333333,1113,91.8794686794281,1632.5736549844148
Acrobot-v1,eps_boltzmann,eps_boltzmann,2,ok,150000,-88.66666666666667,-79.0,-224.71333333333328,1011,92.57821989059448,1620.2515038338872
Acrobot-v1,eps_boltzmann,eps_boltzmann,3,ok,150000,-84.06666666666668,-75.5,-258.5,1034,93.3622899055481,1606.6443973444805
Acrobot-v1,eps_boltzmann,eps_boltzmann,4,ok,150000,-132.33333333333334,-88.4,-365.5666666666666,797,94.6461021900177,1584.8513201193452
Acrobot-v1,eps_greedy,eps_greedy,0,ok,150000,-81.03333333333335,-75.7,-199.31333333333333,1183,91.31752800941467,1642.6200234475825
Acrobot-v1,eps_greedy,eps_greedy,1,ok,150000,-82.0,-73.4,-198.95333333333332,1248,91.61278891563416,1637.325986638551
Acrobot-v1,eps_greedy,eps_greedy,2,ok,150000,-86.56666666666666,-84.0,-299.8333333333333,1155,93.55837297439575,1603.2771331011786
Acrobot-v1,eps_greedy,eps_greedy,3,ok,150000,-86.89999999999999,-77.8,-279.8333333333333,1054,93.45597076416016,1605.0338867971416
Acrobot-v1,eps_greedy,eps_greedy,4,ok,150000,-86.16666666666667,-84.1,-271.81333333333333,1058,92.62015795707703,1619.5178599189446
Acrobot-v1,mixture_anneal,mixture_anneal,0,ok,150000,-80.93333333333334,-80.1,-262.04,1177,99.28561925888062,1510.792812893527
Acrobot-v1,mixture_anneal,mixture_anneal,1,ok,150000,-77.46666666666667,-76.7,-146.60666666666668,1257,101.38431787490845,1479.5187573789794
Acrobot-v1,mixture_anneal,mixture_anneal,2,ok,150000,-89.23333333333333,-75.2,-221.57999999999996,1071,103.50215435028076,1449.245196311154
Acrobot-v1,mixture_anneal,mixture_anneal,3,ok,150000,-83.23333333333333,-79.0,-224.05999999999997,1216,104.85420489311218,1430.5577935849992
Acrobot-v1,mixture_anneal,mixture_anneal,4,ok,150000,-83.63333333333333,-78.8,-284.4533333333333,1167,105.40700912475586,1423.055271613537
Acrobot-v1,topk3_boltzmann,topk_boltzmann,0,ok,150000,-82.03333333333335,-75.5,-254.8,1137,94.43104290962219,1588.460694472702
Acrobot-v1,topk3_boltzmann,topk_boltzmann,1,ok,150000,-101.7,-73.8,-253.39333333333335,1168,93.61078119277954,1602.3795345868764
Acrobot-v1,topk3_boltzmann,topk_boltzmann,2,ok,150000,-77.16666666666666,-73.3,-185.80666666666667,1053,91.42983603477478,1640.6023077953287
Acrobot-v1,topk3_boltzmann,topk_boltzmann,3,ok,150000,-90.26666666666667,-80.1,-167.06666666666663,1113,91.48649191856384,1639.586313283513
Acrobot-v1,topk3_boltzmann,topk_boltzmann,4,ok,150000,-99.89999999999999,-77.8,-259.96000000000004,1053,92.93153285980225,1614.0915293659473
Acrobot-v1,topk_boltzmann,topk_boltzmann,0,ok,150000,-86.0,-74.6,-258.17333333333335,1179,97.09931802749634,1544.810025931628
Acrobot-v1,topk_boltzmann,topk_boltzmann,1,ok,150000,-80.23333333333333,-74.4,-201.5133333333333,1230,97.37725806236267,1540.400736113729
Acrobot-v1,topk_boltzmann,topk_boltzmann,2,ok,150000,-79.33333333333333,-74.3,-308.8933333333334,1019,99.10890197753906,1513.486649604839
