env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
LunarLander-v3,anneal_k,anneal_k,0,ok,400000,98.89500191228434,184.32130663147345,15.976947194164122,1024,239.29562616348267,1671.5725498748852
LunarLander-v3,anneal_k,anneal_k,1,ok,400000,106.1254577013947,211.02396913125637,38.922114102993945,968,240.97016191482544,1659.9565557057892
LunarLander-v3,anneal_k,anneal_k,2,ok,400000,94.8485468832539,164.4001145296475,10.835105222104477,970,241.27764201164246,1657.8411354861412
LunarLander-v3,boltzmann,boltzmann,0,ok,400000,116.66518699578212,196.5082031930096,58.04020157158372,795,243.94109797477722,1639.7400984124406
LunarLander-v3,boltzmann,boltzmann,1,ok,400000,144.5781347862601,233.24318986718714,117.72912210543412,656,245.58034992218018,1628.7948124788995
LunarLander-v3,boltzmann,boltzmann,2,ok,400000,173.4624235479906,230.7034275674529,123.0561002892417,700,242.76439905166626,1647.68805295405
LunarLander-v3,eps_boltzmann,eps_boltzmann,0,ok,400000,208.93792330699384,239.46988815897242,82.29350690047188,1190,240.07531905174255,1666.1437817928693
LunarLander-v3,eps_boltzmann,eps_boltzmann,1,ok,400000,127.51034439267664,192.74615472981256,15.05772132465749,1231,242.85652899742126,1647.062986740815
LunarLander-v3,eps_boltzmann,eps_boltzmann,2,ok,400000,201.29144376484726,249.15623675299344,61.84501333756485,1296,240.6900339126587,1661.8885023928806
LunarLander-v3,eps_greedy,eps_greedy,0,ok,400000,156.52789499864005,211.44691369992947,62.535413236155875,1082,237.85933303833008,1681.666196951547
LunarLander-v3,eps_greedy,eps_greedy,1,ok,400000,223.83044855175058,239.088571225415,53.49832874171925,1053,237.17712569236755,1686.5032782243222
LunarLander-v3,eps_greedy,eps_greedy,2,ok,400000,57.41549669329567,69.09582895646403,-20.749525005992215,909,240.64714193344116,1662.1847107190372
LunarLander-v3,mixture_anneal,mixture_anneal,0,ok,400000,-20.606138862551095,181.41477932737,11.412714145031225,920,261.7776780128479,1528.0141646774337
LunarLander-v3,mixture_anneal,mixture_anneal,1,ok,400000,138.86188599986806,190.13994459023374,52.65331947007095,902,258.96469497680664,1544.6120948487776
LunarLander-v3,mixture_anneal,mixture_anneal,2,ok,400000,119.43711885784849,213.2966756800168,71.83342377629901,921,261.027850151062,1532.403533831781
LunarLander-v3,topk3_boltzmann,topk_boltzmann,0,ok,400000,141.20946988823042,186.60705576721077,32.699266464067755,1046,242.15097403526306,1651.8620319146446
LunarLander-v3,topk3_boltzmann,topk_boltzmann,1,ok,400000,177.6066442240325,218.805028770883,64.05077263286982,977,237.9404158592224,1681.0931365130514
LunarLander-v3,topk3_boltzmann,topk_boltzmann,2,ok,400000,105.83771666937207,193.66591034488852,5.855084999956598,1001,239.1482241153717,1672.602844865906
LunarLander-v3,topk_boltzmann,topk_boltzmann,0,ok,400000,186.06005173206322,208.14178676484124,37.35866596524852,974,242.57186365127563,1648.9958644793405
LunarLander-v3,topk_boltzmann,topk_boltzmann,1,ok,400000,134.22819406122645,192.45793276235443,35.136058227386926,967,240.61191391944885,1662.4280713460867
LunarLander-v3,topk_boltzmann,topk_boltzmann,2,ok,400000,151.85518589896785,168.95856052086882,-2.0902507904810093,984,242.30656099319458,1650.8013582481342
LunarLander-v3,topp_boltzmann,topp_boltzmann,0,ok,400000,102.03086222883074,186.56936667028225,14.285993150999937,995,242.4015290737152,1650.1546072275744
LunarLander-v3,topp_boltzmann,topp_boltzmann,1,ok,400000,34.12508189632849,80.48830338774292,-34.05393812552205,940,244.66382718086243,1634.8963580313352
LunarLander-v3,topp_boltzmann,topp_boltzmann,2,ok,400000,159.6811578628627,191.64925857134625,74.19767784448999,957,242.6787919998169,1648.2692892269788
