env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
CartPole-v1,anneal_k,anneal_k,0,ok,60000,261.3333333333333,341.6,279.375,482,34.33430314064026,1747.5234535626905
CartPole-v1,anneal_k,anneal_k,1,ok,60000,302.99999999999994,379.5,315.425,424,34.27403497695923,1750.5963345236441
CartPole-v1,anneal_k,anneal_k,2,ok,60000,357.8,376.4,343.26666666666665,409,34.70889902114868,1728.6633022684198
CartPole-v1,boltzmann,boltzmann,0,ok,60000,393.5333333333333,423.9,310.4583333333333,396,35.927544832229614,1670.027837420598
CartPole-v1,boltzmann,boltzmann,1,ok,60000,128.13333333333333,393.5,149.6333333333333,660,33.89328479766846,1770.2621731171787
CartPole-v1,boltzmann,boltzmann,2,ok,60000,113.90000000000002,183.9,123.09166666666668,821,33.458131074905396,1793.2860584972066
CartPole-v1,eps_boltzmann,eps_boltzmann,0,ok,60000,366.46666666666664,370.3,331.3916666666667,555,35.47229814529419,1691.460749293451
CartPole-v1,eps_boltzmann,eps_boltzmann,1,ok,60000,335.1666666666667,353.0,287.65833333333336,563,35.56228494644165,1687.1806772360835
CartPole-v1,eps_boltzmann,eps_boltzmann,2,ok,60000,283.43333333333334,301.0,245.80833333333337,574,34.19647192955017,1754.5669659609607
CartPole-v1,eps_greedy,eps_greedy,0,ok,60000,218.83333333333334,228.2,194.98333333333335,556,33.323304891586304,1800.5416988261934
CartPole-v1,eps_greedy,eps_greedy,1,ok,60000,289.6333333333334,359.1,294.025,448,34.89910888671875,1719.2416057028229
CartPole-v1,eps_greedy,eps_greedy,2,ok,60000,316.9666666666667,338.5,312.2916666666667,417,35.150063276290894,1706.9670551765596
CartPole-v1,mixture_anneal,mixture_anneal,0,ok,60000,315.2333333333333,322.1,286.14166666666665,408,37.3270468711853,1607.4135252932942
CartPole-v1,mixture_anneal,mixture_anneal,1,ok,60000,206.26666666666665,367.1,248.84166666666667,479,37.111815214157104,1616.735793001893
CartPole-v1,mixture_anneal,mixture_anneal,2,ok,60000,415.5333333333333,424.6,376.01666666666665,336,38.08889389038086,1575.2623369079424
CartPole-v1,topk_boltzmann,topk_boltzmann,0,ok,60000,256.3333333333333,285.7,253.625,499,34.10722208023071,1759.158217542944
CartPole-v1,topk_boltzmann,topk_boltzmann,1,ok,60000,270.1333333333334,408.3,303.80833333333334,454,34.99109411239624,1714.7220320482604
CartPole-v1,topk_boltzmann,topk_boltzmann,2,ok,60000,350.56666666666666,365.8,320.18333333333334,423,34.95073199272156,1716.702242816972
CartPole-v1,topp_boltzmann,topp_boltzmann,0,ok,60000,255.86666666666665,280.9,243.04999999999998,487,34.38735008239746,1744.8276722757244
CartPole-v1,topp_boltzmann,topp_boltzmann,1,ok,60000,251.16666666666666,385.0,288.14166666666665,479,34.73160696029663,1727.5330815700202
CartPole-v1,topp_boltzmann,topp_boltzmann,2,ok,60000,279.7,330.7,275.26666666666665,454,34.70862817764282,1728.676791629821
