env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
Acrobot-v1,eps_boltzmann_ensemble,eps_boltzmann,0,skipped,100000,-77.16666666666667,-75.6,-338.8,628,103.49578905105591,966.2228861376052
Acrobot-v1,eps_boltzmann_ensemble,eps_boltzmann,1,skipped,100000,-83.2,-79.3,-231.37000000000003,695,100.8178608417511,991.8877385919261
Acrobot-v1,eps_boltzmann_ensemble,eps_boltzmann,2,skipped,100000,-92.06666666666666,-85.3,-256.6,559,97.05950212478638,1030.295826898361
Acrobot-v1,eps_greedy_ensemble,eps_greedy,0,skipped,100000,-80.26666666666667,-78.3,-316.20000000000005,725,101.1645610332489,988.488448708178
Acrobot-v1,eps_greedy_ensemble,eps_greedy,1,skipped,100000,-81.73333333333333,-75.9,-147.42000000000002,818,97.53162717819214,1025.3084347428974
Acrobot-v1,eps_greedy_ensemble,eps_greedy,2,skipped,100000,-117.66666666666667,-79.6,-339.77,608,101.20408701896667,988.1023874189882
Acrobot-v1,eps_greedy_single,eps_greedy,0,skipped,100000,-81.13333333333333,-78.3,-316.78,650,61.50196409225464,1625.9643326186665
Acrobot-v1,eps_greedy_single,eps_greedy,1,skipped,100000,-138.26666666666668,-77.4,-197.13000000000002,806,60.340373277664185,1657.2651869393783
Acrobot-v1,eps_greedy_single,eps_greedy,2,skipped,100000,-96.90000000000002,-75.5,-247.19,718,60.730820178985596,1646.6103982340508
Acrobot-v1,gated_ensemble,uncertainty_gated,0,skipped,100000,-500.0,-339.9,-483.98999999999995,227,103.00124216079712,970.8620779921098
Acrobot-v1,gated_ensemble,uncertainty_gated,1,skipped,100000,-367.26666666666665,-77.3,-330.51000000000005,280,100.26663184165955,997.3407719321757
Acrobot-v1,gated_ensemble,uncertainty_gated,2,skipped,100000,-290.1,-105.6,-381.06,231,94.98493790626526,1052.7984984175469
Acrobot-v1,gated_ensemble_frozen,uncertainty_gated,0,ok,100000,-500.0,-186.1,-468.61,393,107.81020307540894,927.5559932862197
Acrobot-v1,gated_ensemble_frozen,uncertainty_gated,1,ok,100000,-93.43333333333334,-79.6,-190.46,623,102.87973594665527,972.0087156119018
Acrobot-v1,gated_ensemble_frozen,uncertainty_gated,2,ok,100000,-294.73333333333335,-85.6,-404.47999999999996,327,105.6517403125763,946.5059421089012
Acrobot-v1,gated_ensemble_scaled,uncertainty_gated,0,skipped,100000,-398.6333333333334,-195.9,-440.65,234,105.73293900489807,945.7790631864258
Acrobot-v1,gated_ensemble_scaled,uncertainty_gated,1,skipped,100000,-226.76666666666668,-82.6,-349.96,258,103.37662982940674,967.3366230357974
Acrobot-v1,gated_ensemble_scaled,uncertainty_gated,2,skipped,100000,-500.0,-90.8,-401.87,211,104.88038802146912,953.4671055901309
Acrobot-v1,gated_td_error,uncertainty_gated,0,skipped,100000,-500.0,-189.5,-465.27,205,60.71835994720459,1646.9483050423514
Acrobot-v1,gated_td_error,uncertainty_gated,1,skipped,100000,-335.8666666666666,-83.9,-294.28999999999996,211,58.274446964263916,1716.018001188819
Acrobot-v1,gated_td_error,uncertainty_gated,2,skipped,100000,-359.7,-79.1,-355.71999999999997,202,59.34420919418335,1685.0843807318195
Acrobot-v1,gated_td_error_frozen,uncertainty_gated,0,ok,100000,-377.3,-131.9,-427.33000000000004,206,66.84734511375427,1495.9457227482974
Acrobot-v1,gated_td_error_frozen,uncertainty_gated,1,ok,100000,-452.8666666666666,-96.7,-340.59000000000003,214,65.85386490821838,1518.5137598130596
Acrobot-v1,gated_td_error_frozen,uncertainty_gated,2,ok,100000,-241.0,-102.6,-363.12,204,67.08940696716309,1490.5482775983548
Acrobot-v1,gated_td_error_scaled,uncertainty_gated,0,skipped,100000,-461.23333333333335,-188.1,-439.4,205,66.82923102378845,1496.351199438523
Acrobot-v1,gated_td_error_scaled,uncertainty_gated,1,skipped,100000,-97.86666666666666,-88.7,-266.25,226,63.864503145217896,1565.8150470945595
Acrobot-v1,gated_td_error_scaled,uncertainty_gated,2,skipped,100000,-378.0,-131.9,-406.00999999999993,203,65.60437202453613,1524.2886550701203
